edges,graph_name,graph_type,method_name,nodes,time
20000,_,watts_strogatz,approx,4000,4.418987699998979
20000,_,watts_strogatz,approx,4000,4.435946300000069
22500,_,watts_strogatz,approx,4500,5.230302400002984
22500,_,watts_strogatz,approx,4500,5.193110899999738
22500,_,watts_strogatz,approx,4500,5.181762500000332
22500,_,watts_strogatz,approx,4500,5.196756000001187
22500,_,watts_strogatz,approx,4500,5.09363939999821
25000,_,watts_strogatz,approx,5000,5.852653300000384
25000,_,watts_strogatz,approx,5000,5.876334399999905
25000,_,watts_strogatz,approx,5000,5.939179199998762
25000,_,watts_strogatz,approx,5000,5.864617999999609
25000,_,watts_strogatz,approx,5000,5.9756009000011545
2473,_,holme_kim,nxapprox,500,49.39243940000233
2473,_,holme_kim,approx,500,0.4778425000004063
2470,_,holme_kim,nxapprox,500,49.55684090000068
2470,_,holme_kim,approx,500,0.4592628999998851
2475,_,holme_kim,nxapprox,500,48.73001759999897
2475,_,holme_kim,approx,500,0.49341139999887673
2475,_,holme_kim,nxapprox,500,49.25058219999846
2475,_,holme_kim,approx,500,0.4568372999965504
2473,_,holme_kim,nxapprox,500,49.27438059999986
2473,_,holme_kim,approx,500,0.48625100000208477
4967,_,holme_kim,nxapprox,1000,110.00279810000211
4967,_,holme_kim,approx,1000,0.9623376000017743
4972,_,holme_kim,nxapprox,1000,108.32155250000142
4972,_,holme_kim,approx,1000,0.9590330999999424
4972,_,holme_kim,nxapprox,1000,112.88944800000172
4972,_,holme_kim,approx,1000,0.970932799998991
4972,_,holme_kim,nxapprox,1000,111.53635560000112
4972,_,holme_kim,approx,1000,1.0043969999969704
4974,_,holme_kim,nxapprox,1000,112.62019480000163
4974,_,holme_kim,approx,1000,0.9885691000017687
7470,_,holme_kim,nxapprox,1500,181.1658599000002
7470,_,holme_kim,approx,1500,1.452585099999851
7469,_,holme_kim,nxapprox,1500,181.41796180000165
7469,_,holme_kim,approx,1500,1.4999940000016068
7473,_,holme_kim,nxapprox,1500,178.97854290000032
7473,_,holme_kim,approx,1500,1.5010722000006353
7469,_,holme_kim,nxapprox,1500,179.04404210000212
7469,_,holme_kim,approx,1500,1.493091700001969
7472,_,holme_kim,nxapprox,1500,180.83424450000166
7472,_,holme_kim,approx,1500,1.4912975999977789
9972,_,holme_kim,nxapprox,2000,244.5017430999942
9972,_,holme_kim,approx,2000,2.1122640000030515
9971,_,holme_kim,nxapprox,2000,246.4831090000007
9971,_,holme_kim,approx,2000,2.0909750999999233
9966,_,holme_kim,nxapprox,2000,245.32854809999844
9966,_,holme_kim,approx,2000,2.126534700000775
9968,_,holme_kim,nxapprox,2000,247.30197059999773
9968,_,holme_kim,approx,2000,2.1637154999989434
9971,_,holme_kim,nxapprox,2000,245.33210930000496
9971,_,holme_kim,approx,2000,2.1133786999998847
12471,_,holme_kim,nxapprox,2500,297.86361419999594
12471,_,holme_kim,approx,2500,2.7234945999953197
12472,_,holme_kim,nxapprox,2500,296.91101450000133
12472,_,holme_kim,approx,2500,2.793332499997632
12471,_,holme_kim,nxapprox,2500,timeout
12471,_,holme_kim,approx,2500,2.768581799995445
12471,_,holme_kim,approx,2500,2.692987300004461
12472,_,holme_kim,approx,2500,2.76343800000177
14971,_,holme_kim,approx,3000,3.541048099999898
14967,_,holme_kim,approx,3000,3.649293199996464
14972,_,holme_kim,approx,3000,3.5257552999973996
14972,_,holme_kim,approx,3000,3.570669500004442
14972,_,holme_kim,approx,3000,3.5153892999951495
17471,_,holme_kim,approx,3500,4.318036700002267
17468,_,holme_kim,approx,3500,4.290684200001124
17470,_,holme_kim,approx,3500,4.389510200002405
17469,_,holme_kim,approx,3500,4.293739900000219
17468,_,holme_kim,approx,3500,4.275936399993952
19971,_,holme_kim,approx,4000,5.218967100001464
19972,_,holme_kim,approx,4000,5.270871200002148
19971,_,holme_kim,approx,4000,5.138912700000219
19971,_,holme_kim,approx,4000,5.197658400000364
19967,_,holme_kim,approx,4000,5.144103300001007
22471,_,holme_kim,approx,4500,6.084091199998511
22469,_,holme_kim,approx,4500,5.955585399999109
22467,_,holme_kim,approx,4500,6.128839799996058
22467,_,holme_kim,approx,4500,6.060992799997621
22472,_,holme_kim,approx,4500,6.001616499997908
24973,_,holme_kim,approx,5000,7.0470065000045
24969,_,holme_kim,approx,5000,6.995442799998273
24970,_,holme_kim,approx,5000,6.814882499995292
24973,_,holme_kim,approx,5000,6.926158700000087
24969,_,holme_kim,approx,5000,6.878714700003911
