edges,graph_name,method_name,nodes,time
994,_,nx,200,0.6173384000000013
994,_,brandes,200,0.06384399999999602
953,_,nx,200,0.5908626999999953
953,_,brandes,200,0.06115710000000263
989,_,nx,200,0.6198374999999956
989,_,brandes,200,0.06330950000000257
1002,_,nx,200,0.6245663999999991
1002,_,brandes,200,0.06489519999999516
1019,_,nx,200,0.6320380000000014
1019,_,brandes,200,0.062293500000002666
990,_,nx,200,0.6126204000000044
990,_,brandes,200,0.06044620000000123
993,_,nx,200,0.618347700000001
993,_,brandes,200,0.0603108999999975
1052,_,nx,200,0.6531110000000027
1052,_,brandes,200,0.06514589999999743
976,_,nx,200,0.603666699999998
976,_,brandes,200,0.059014400000002354
1062,_,nx,200,0.663906499999996
1062,_,brandes,200,0.06559519999999708
1038,_,nx,200,0.6414276000000001
1038,_,brandes,200,0.06720370000000031
983,_,nx,200,0.6165804999999978
983,_,brandes,200,0.06466819999999984
1037,_,nx,200,0.6377977000000001
1037,_,brandes,200,0.0631467999999984
973,_,nx,200,0.6161621000000039
973,_,brandes,200,0.06004430000000127
964,_,nx,200,0.6085459000000029
964,_,brandes,200,0.06060390000000382
1048,_,nx,200,0.6516113000000061
1048,_,brandes,200,0.06342519999999752
988,_,nx,200,0.6150328999999957
988,_,brandes,200,0.06149830000000378
1046,_,nx,200,0.649823099999999
1046,_,brandes,200,0.063928599999997
961,_,nx,200,0.5964595999999958
961,_,brandes,200,0.05823469999999986
1013,_,nx,200,0.6342501000000027
1013,_,brandes,200,0.06206070000000352
995,_,nx,200,0.617988699999998
995,_,brandes,200,0.06555009999999584
1011,_,nx,200,0.6295900999999944
1011,_,brandes,200,0.0610816000000014
1025,_,nx,200,0.6357472999999985
1025,_,brandes,200,0.06197189999999608
1043,_,nx,200,0.6521839000000043
1043,_,brandes,200,0.06677799999999934
952,_,nx,200,0.6069141999999985
952,_,brandes,200,0.23222270000000123
1029,_,nx,200,0.6853756000000004
1029,_,brandes,200,0.07270919999999848
1012,_,nx,200,0.629472100000001
1012,_,brandes,200,0.06257980000000174
960,_,nx,200,0.5937973999999997
960,_,brandes,200,0.058606900000000905
978,_,nx,200,0.6040212999999994
978,_,brandes,200,0.05933350000000104
1028,_,nx,200,0.6461053000000021
1028,_,brandes,200,0.06310300000000524
989,_,nx,200,0.6156079999999946
989,_,brandes,200,0.0641721000000004
967,_,nx,200,0.5987560000000016
967,_,brandes,200,0.05950350000000526
951,_,nx,200,0.5819408000000053
951,_,brandes,200,0.05809390000000292
1008,_,nx,200,0.6231908999999973
1008,_,brandes,200,0.0610214999999954
1005,_,nx,200,0.6348851999999994
1005,_,brandes,200,0.06103179999999497
986,_,nx,200,0.6129186000000004
986,_,brandes,200,0.05949019999999905
964,_,nx,200,0.5916638000000063
964,_,brandes,200,0.06134949999999151
956,_,nx,200,0.5908450000000016
956,_,brandes,200,0.05775549999999896
978,_,nx,200,0.6040519999999958
978,_,brandes,200,0.06031609999999432
970,_,nx,200,0.6007146999999975
970,_,brandes,200,0.06273339999999905
962,_,nx,200,0.6219228000000072
962,_,brandes,200,0.05995579999999734
955,_,nx,200,0.5917699999999968
955,_,brandes,200,0.058309999999991646
1032,_,nx,200,0.6364468999999957
1032,_,brandes,200,0.062227800000002276
1006,_,nx,200,0.6156385999999969
1006,_,brandes,200,0.06805479999999875
1048,_,nx,200,0.6495638000000099
1048,_,brandes,200,0.0691003999999964
1016,_,nx,200,0.6255983000000072
1016,_,brandes,200,0.0629797999999937
991,_,nx,200,0.6125751000000008
991,_,brandes,200,0.061197700000008126
974,_,nx,200,0.6029662000000116
974,_,brandes,200,0.06576249999999106
1016,_,nx,200,0.6360335000000106
1016,_,brandes,200,0.061599700000002144
1039,_,nx,200,0.6446202999999997
1039,_,brandes,200,0.07105450000000246
1011,_,nx,200,0.6261223999999999
1011,_,brandes,200,0.062032599999994886
992,_,nx,200,0.6192814000000055
992,_,brandes,200,0.06021640000000161
935,_,nx,200,0.5827687999999966
935,_,brandes,200,0.058387600000003204
1034,_,nx,200,0.6332265000000064
1034,_,brandes,200,0.06239949999999794
956,_,nx,200,0.6622775999999959
956,_,brandes,200,0.05820660000000544
1019,_,nx,200,0.6366179000000045
1019,_,brandes,200,0.06540979999999763
1034,_,nx,200,0.6401997000000108
1034,_,brandes,200,0.06313009999999508
951,_,nx,200,0.5969872000000009
951,_,brandes,200,0.06311360000000832
999,_,nx,200,0.6134242999999913
999,_,brandes,200,0.11161389999999471
1011,_,nx,200,0.622378800000007
1011,_,brandes,200,0.06811000000000433
1038,_,nx,200,0.6420651999999905
1038,_,brandes,200,0.06382109999999841
