edges,graph_name,method_name,nodes,setup_time,time
503,_,brandes_dense,100,5.00000000069889e-07,0.02072370000000001
503,_,brandes_dense,100,5.999999999062311e-07,0.02027750000000017
503,_,brandes_dense,100,4.0000000023354687e-07,0.020005500000000342
503,_,brandes_dense,100,5.00000000069889e-07,0.024431900000000173
503,_,brandes_dense,100,5.999999999062311e-07,0.02182890000000004
503,_,brandes_dense,100,5.999999999062311e-07,0.020205199999999923
503,_,brandes_dense,100,5.999999999062311e-07,0.019943500000000114
503,_,brandes_dense,100,5.00000000069889e-07,0.020140099999999883
503,_,brandes_dense,100,5.999999999062311e-07,0.019819199999999704
503,_,brandes_dense,100,5.999999999062311e-07,0.020129400000000075
503,_,newman,100,3.9999999978945766e-07,0.14381140000000014
503,_,newman,100,5.999999999062311e-07,0.11530899999999988
503,_,newman,100,5.00000000069889e-07,0.11462050000000001
503,_,newman,100,5.00000000069889e-07,0.11646839999999958
503,_,newman,100,5.00000000069889e-07,0.11491449999999981
503,_,newman,100,5.00000000069889e-07,0.11511020000000016
503,_,newman,100,5.00000000069889e-07,0.11860729999999986
503,_,newman,100,7.000000001866624e-07,0.12543879999999996
503,_,newman,100,5.00000000069889e-07,0.12332069999999984
503,_,newman,100,5.999999999062311e-07,0.12243119999999985
717,_,nx,150,8.000000000230045e-07,0.2984376000000002
717,_,nx,150,6.999999997425732e-07,0.2990360000000005
717,_,nx,150,7.000000001866624e-07,0.29593880000000006
717,_,nx,150,2.3000000002326715e-06,0.2951341999999997
717,_,nx,150,6.99999999298484e-07,0.29478959999999965
717,_,nx,150,5.999999999062311e-07,0.29556510000000014
717,_,nx,150,1.000000000139778e-06,0.30101080000000024
717,_,nx,150,5.999999999062311e-07,0.2947500000000005
717,_,nx,150,7.000000001866624e-07,0.29278859999999973
717,_,nx,150,7.000000001866624e-07,0.29344409999999943
717,_,brandes_dense,150,5.000000005139782e-07,0.034228300000000544
717,_,brandes_dense,150,4.0000000023354687e-07,0.0321978000000005
717,_,brandes_dense,150,4.999999996257998e-07,0.03272430000000082
717,_,brandes_dense,150,5.000000005139782e-07,0.03253380000000039
717,_,brandes_dense,150,5.000000005139782e-07,0.034282799999999725
717,_,brandes_dense,150,1.1999999998124622e-06,0.03340690000000013
717,_,brandes_dense,150,5.999999999062311e-07,0.032360500000000236
717,_,brandes_dense,150,4.999999996257998e-07,0.03249349999999929
717,_,brandes_dense,150,4.999999996257998e-07,0.03240770000000026
717,_,brandes_dense,150,5.999999999062311e-07,0.03250600000000059
717,_,newman,150,4.999999996257998e-07,0.2592255999999997
717,_,newman,150,5.000000005139782e-07,0.26353200000000054
717,_,newman,150,5.999999999062311e-07,0.2873899
717,_,newman,150,5.000000005139782e-07,0.2670146999999998
717,_,newman,150,4.999999996257998e-07,0.27760729999999967
717,_,newman,150,4.999999987376214e-07,0.2582329999999988
717,_,newman,150,5.000000005139782e-07,0.2600894
717,_,newman,150,5.999999999062311e-07,0.2616504000000006
717,_,newman,150,5.999999999062311e-07,0.2583487000000009
717,_,newman,150,5.000000005139782e-07,0.2602631999999989
943,_,nx,200,5.000000005139782e-07,0.48522260000000017
943,_,nx,200,6.99999999298484e-07,0.4836392000000007
943,_,nx,200,5.999999999062311e-07,0.4861696000000002
943,_,nx,200,5.999999999062311e-07,0.48693270000000055
943,_,nx,200,6.99999999298484e-07,0.48495370000000015
943,_,nx,200,7.000000010748408e-07,0.4948376000000003
943,_,nx,200,5.999999999062311e-07,0.4827995000000005
943,_,nx,200,5.999999999062311e-07,0.48294450000000033
943,_,nx,200,6.99999999298484e-07,0.48631699999999967
943,_,nx,200,6.99999999298484e-07,0.48316910000000135
943,_,brandes_dense,200,8.999999998593466e-07,0.04708649999999892
943,_,brandes_dense,200,5.000000005139782e-07,0.04704079999999955
943,_,brandes_dense,200,5.999999999062311e-07,0.05135999999999896
943,_,brandes_dense,200,5.000000005139782e-07,0.04965979999999881
943,_,brandes_dense,200,4.999999987376214e-07,0.0467411000000002
943,_,brandes_dense,200,6.000000016825879e-07,0.047277799999999814
943,_,brandes_dense,200,5.000000005139782e-07,0.046582400000000135
943,_,brandes_dense,200,4.999999987376214e-07,0.04701810000000073
943,_,brandes_dense,200,5.000000005139782e-07,0.04997000000000007
943,_,brandes_dense,200,7.000000010748408e-07,0.05009330000000034
943,_,newman,200,5.000000005139782e-07,0.5319198000000007
943,_,newman,200,4.999999987376214e-07,0.5024208999999988
943,_,newman,200,6.99999999298484e-07,0.5129295000000003
943,_,newman,200,4.999999987376214e-07,0.5046115000000029
943,_,newman,200,5.00000002290335e-07,0.5129766000000018
943,_,newman,200,5.999999999062311e-07,0.5074942
