builtin,function,i,n,numpy
0.250926800000002,where,4,40000000,0.017057099999988168
0.32607490000000894,abs,5,4000000,0.00761389999999551
0.2503922000000216,sum,5,40000000,0.017005599999976084
0.25073299999999676,where,5,40000000,0.016972199999997883
0.31866880000001174,abs,6,4000000,0.007677799999981971
0.2504839000000061,sum,6,40000000,0.017314999999996417
0.25034519999999816,where,6,40000000,0.016954499999997097
0.3225068000000135,abs,7,4000000,0.00846880000000283
0.2510452000000214,sum,7,40000000,0.01707999999999288
0.2506881999999848,where,7,40000000,0.01699700000000348
0.31936289999998735,abs,8,4000000,0.007664699999992308
0.2518398999999931,sum,8,40000000,0.017103699999978517
0.25043249999998807,where,8,40000000,0.017088000000001102
0.3182020999999793,abs,9,4000000,0.007630100000000084
0.2510334000000114,sum,9,40000000,0.01700770000002194
0.2507409000000109,where,9,40000000,0.01696279999998751
0.3843988000000138,abs,0,5000000,0.00966760000000022
0.31453440000001365,sum,0,50000000,0.021340100000003304
0.31286450000001764,where,0,50000000,0.021185600000023896
0.3844225999999935,abs,1,5000000,0.009710200000000668
0.31328730000001315,sum,1,50000000,0.02137369999996963
0.3136582000000203,where,1,50000000,0.021329499999978907
0.3852800999999886,abs,2,5000000,0.009606500000018059
0.31304130000000896,sum,2,50000000,0.021210499999995136
0.31376310000001695,where,2,50000000,0.02136259999997492
0.38610879999998815,abs,3,5000000,0.010052900000005138
0.3131225999999856,sum,3,50000000,0.021186999999997624
0.31327810000004774,where,3,50000000,0.02124410000004673
0.3840273999999795,abs,4,5000000,0.009929600000020855
0.31290780000000495,sum,4,50000000,0.02118969999997944
0.3136430000000132,where,4,50000000,0.02130640000001449
0.38573650000000725,abs,5,5000000,0.009677100000033079
0.31359930000002123,sum,5,50000000,0.021303900000020803
0.3152867000000015,where,5,50000000,0.021249600000032842
0.3867481000000339,abs,6,5000000,0.010031699999956345
0.3131627000000208,sum,6,50000000,0.02133659999998372
0.3136460999999713,where,6,50000000,0.02159149999999954
0.38590260000000853,abs,7,5000000,0.00979019999999764
0.31315250000000106,sum,7,50000000,0.021218400000009296
0.313689399999987,where,7,50000000,0.021311800000034964
0.3843846000000326,abs,8,5000000,0.009790100000031998
0.3137719000000061,sum,8,50000000,0.02127229999996416
0.31315100000000484,where,8,50000000,0.021232499999996435
0.38420549999995046,abs,9,5000000,0.009845400000017435
0.31364350000001195,sum,9,50000000,0.02134059999997362
0.3136711999999875,where,9,50000000,0.02140610000003562
0.4717822000000069,abs,0,6000000,0.01138420000000906
0.3757942999999955,sum,0,60000000,0.025575899999978446
0.3757765999999947,where,0,60000000,0.025474999999971715
0.4754878999999619,abs,1,6000000,0.011398100000008071
0.37613830000003645,sum,1,60000000,0.025545200000010482
0.37537439999999833,where,1,60000000,0.025410899999997127
0.47256090000001905,abs,2,6000000,0.01139779999999746
0.3780517999999802,sum,2,60000000,0.025455500000020947
0.37589730000001964,where,2,60000000,0.02553360000001703
